name,latitude,longitude
江坂,34.758866,135.497099
東三国,34.741149,135.498505
新大阪,34.732895,135.498544
西中島南方,34.726637,135.498596
中津,34.709915,135.492377
梅田,34.703413,135.497588
淀屋橋,34.692491,135.501375
本町,34.683542,135.50067
心斎橋,34.675354,135.499201
なんば,34.663663,135.501775
大国町,34.656242,135.497868
動物園前,34.64879,135.504546
天王寺,34.647343,135.515241
昭和町,34.633126,135.516925
西田辺,34.621554,135.515157
長居,34.610852,135.51249
あびこ,34.599082,135.512785
北花田,34.582282,135.516411
新金岡,34.568486,135.515366
なかもず,34.556304,135.506237
大日,34.749905,135.578834
守口,34.738467,135.564383
太子橋今市,34.731225,135.554695
千林大宮,34.724222,135.549249
関目高殿,34.715336,135.545822
野江内代,34.709392,135.538573
都島,34.708973,135.525858
天神橋筋六丁目,34.709807,135.510782
中崎町,34.707226,135.505623
東梅田,34.700595,135.499818
南森町,34.697578,135.511002
天満橋,34.690326,135.516441
谷町四丁目,34.682358,135.517315
谷町六丁目,34.675902,135.517104
谷町九丁目,34.667085,135.515839
四天王寺前夕陽ヶ丘,34.658816,135.514245
阿倍野,34.642486,135.511992
文の里,34.636157,135.517996
田辺,34.628789,135.525012
駒川中野,34.621649,135.532508
平野,34.630926,135.551708
喜連瓜破,34.609262,135.55131
出戸,34.609098,135.565177
長原,34.602908,135.573675
八尾南,34.597329,135.582515
西梅田,34.699482,135.49565
肥後橋,34.691496,135.496339
四ツ橋,34.674038,135.496753
花園町,34.644281,135.496576
岸里,34.634417,135.493857
玉出,34.623778,135.490403
北加賀屋,34.621309,135.479414
住之江公園,34.608739,135.473099
長田,34.68163,135.149637
高井田,34.67838,135.571924
深江橋,34.679112,135.557453
緑橋,34.680656,135.545743
森ノ宮,34.680447,135.534005
堺筋本町,34.682619,135.506459
阿波座,34.681632,135.486251
九条,34.675314,135.473526
弁天町,34.670288,135.46183
朝潮橋,34.660863,135.448813
大阪港,34.65393,135.434414
コスモスクエア,34.642577,135.412215
夢洲,34.652946,135.390524
野田阪神,34.694371,135.474873
玉川,34.68955,135.476199
西長堀,34.675707,135.486908
桜川,34.668305,135.490266
日本橋,34.666718,135.506149
鶴橋,34.665404,135.53021
今里,34.664761,135.549762
新深江,34.668185,135.554297
小路,34.661431,135.556281
北巽,34.653504,135.555039
南巽,34.642498,135.55311
扇町,34.704476,135.510843
北浜,34.691507,135.507584
長堀橋,34.675318,135.506297
恵美須町,34.655598,135.505664
天下茶屋,34.637155,135.496659
大正,34.665618,135.47869
ドーム前千代崎,34.671454,135.479492
西大橋,34.675493,135.494473
松屋町,34.675417,135.512219
玉造,34.673204,135.532858
大阪ビジネスパーク,34.692412,135.529477
京橋,34.696983,135.532163
蒲生四丁目,34.700558,135.548478
鴫野,34.692686,135.545146
今福鶴見,34.701973,135.559892
横堤,34.703634,135.573412
鶴見緑地,34.710953,135.580681
門真南,34.717075,135.593111
井高野,34.760002,135.547261
瑞光四丁目,34.75221,135.544553
だいどう豊里,34.743935,135.54454
清水,34.722269,135.560806
新森古市,34.715262,135.558302
関目成育,34.713095,135.54645
トレードセンター前,34.638694,135.412146
中ふ頭,34.634049,135.41744
ポートタウン西,34.630904,135.422814
ポートタウン東,34.630888,135.429149
フェリーターミナル,34.619248,135.434961
南港東,34.613823,135.438632
南港口,34.613816,135.445961
平林,34.610665,135.458627
緑地公園,34.775423,135.495378
桃山台,34.793111,135.497318
千里中央,34.807459,135.495191
箕面船場阪大前,34.821811,135.490232
箕面萱野,34.831376,135.48906
柴島,34.728472,135.511535
淡路,34.739252,135.51689
下新庄,34.746164,135.519962
吹田,34.763158,135.523588
豊津,34.764352,135.509252
関大前,34.771091,135.50604
千里山,34.779209,135.505413
南千里,34.792555,135.508743
山田,34.803858,135.515604
北千里,34.820032,135.511056
上新庄,34.750269,135.533054
相川,34.757643,135.533612
正雀,34.775676,135.545786
摂津市,34.786749,135.553931
南茨木,34.802357,135.565179
茨木市,34.816664,135.575838
総持寺,34.826981,135.58462
富田,34.83512,135.592598
高槻市,34.849915,135.623241
上牧,34.87208,135.661763
水無瀬,34.877575,135.667579
大山崎,34.891431,135.681621
西山天王山,34.913185,135.688583
長岡天神,34.925325,135.692693
西向日,34.940496,135.703195
東向日,34.953587,135.704736
洛西口,34.963853,135.703192
桂,34.979467,135.70326
西京極,34.992463,135.718334
西院,35.003566,135.73178
大宮,35.003645,135.748589
烏丸,35.003682,135.760417
京都河原町,35.003712,135.76876
上桂,34.990296,135.695931
松尾大社,35.000319,135.688243
嵐山,35.015287,135.677996
荒本,34.678607,135.604896
吉田,34.680268,135.623006
新石切,34.680183,135.64088
生駒,34.693236,135.697921
白庭台,34.720896,135.716554
学研北生駒,34.724848,135.723204
学研奈良登美ヶ丘,34.726559,135.752194
